region,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bedfordshire and Hertfordshire,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Berkshire, Buckinghamshire and Oxfordshire",0,0,0,0,0,3,3,3,2,2,2,3,2,2
Cheshire,0,0,0,0,0,1,1,1,1,1,1,1,0,1
Cornwall and Isles of Scilly,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumbria,1,1,2,1,1,0,0,0,0,0,0,0,0,0
Derbyshire and Nottinghamshire,2,2,2,1,1,1,1,2,1,1,1,1,0,0
Devon,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Dorset and Somerset,0,0,0,0,0,2,1,0,0,1,1,2,1,1
East Anglia,1,1,0,0,0,1,1,1,0,1,1,1,1,3
East Wales,0,0,0,0,0,0,0,0,0,0,0,1,1,1
East Yorkshire and Northern Lincolnshire,2,2,2,1,1,1,0,0,0,0,0,1,1,1
Essex,0,0,0,0,0,1,1,1,1,1,2,2,1,0
"Gloucestershire, Wiltshire and Bristol/Bath area",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greater Manchester,2,3,5,3,3,1,0,0,0,0,0,0,0,0
Hampshire and Isle of Wight,0,0,1,1,1,2,1,2,1,1,0,0,1,2
"Herefordshire, Worcestershire and Warwickshire",0,0,1,1,1,0,0,0,0,1,1,1,1,2
Inner London - East,2,2,3,1,2,2,0,0,0,0,0,0,0,0
Inner London - West,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Kent,0,0,0,0,0,0,0,0,0,1,2,3,3,2
Lancashire,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"Leicestershire, Rutland and Northamptonshire",1,1,1,0,0,0,0,0,0,1,1,2,1,0
Lincolnshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merseyside,0,0,1,1,1,1,0,0,0,0,0,0,0,0
North Yorkshire,0,0,0,0,0,1,1,1,1,1,1,0,0,0
Northumberland and Tyne and Wear,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Outer London - East and North East,0,0,0,0,0,1,1,1,1,1,1,2,1,1
Outer London - South,0,0,0,0,0,0,0,1,1,1,1,0,0,0
Outer London - West and North West,0,0,0,0,0,1,1,2,2,2,2,2,1,1
Shropshire and Staffordshire,0,0,0,0,0,1,1,1,1,1,0,1,2,2
South Yorkshire,1,0,1,1,1,2,1,1,1,1,1,0,0,0
"Surrey, East and West Sussex",0,0,0,0,0,3,3,4,4,4,5,5,5,6
Tees Valley and Durham,2,2,2,0,0,0,0,0,0,0,0,0,0,0
West Midlands,0,0,0,0,2,4,2,2,0,0,0,0,0,0
West Wales,1,1,1,2,2,1,0,1,1,2,1,1,0,0
West Yorkshire,1,1,2,3,3,3,0,0,0,0,0,0,0,0
